Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
QB,Patrick Mahomes (11393688),Patrick Mahomes,11393688,QB,6200,JAX@KC 10/07/2018 01:00PM ET,KC,31.08
QB,Matt Ryan (11393235),Matt Ryan,11393235,QB,6600,ATL@PIT 10/07/2018 01:00PM ET,ATL,29.24
QB,Cam Newton (11393276),Cam Newton,11393276,QB,6400,NYG@CAR 10/07/2018 01:00PM ET,CAR,26.48
QB,Ben Roethlisberger (11393244),Ben Roethlisberger,11393244,QB,6900,ATL@PIT 10/07/2018 01:00PM ET,PIT,25.72
QB,Andy Dalton (11393259),Andy Dalton,11393259,QB,5900,MIA@CIN 10/07/2018 01:00PM ET,CIN,23.5
RB,Saquon Barkley (11393715),Saquon Barkley,11393715,RB/FLEX,7700,NYG@CAR 10/07/2018 01:00PM ET,NYG,23.32
RB,Christian McCaffrey (11393664),Christian McCaffrey,11393664,RB/FLEX,8000,NYG@CAR 10/07/2018 01:00PM ET,CAR,23.27
WR,Golden Tate (11393291),Golden Tate,11393291,WR/FLEX,6700,GB@DET 10/07/2018 01:00PM ET,DET,22.95
QB,Blake Bortles (11393415),Blake Bortles,11393415,QB,5500,JAX@KC 10/07/2018 01:00PM ET,JAX,22
WR,JuJu Smith-Schuster (11393680),JuJu Smith-Schuster,11393680,WR/FLEX,7500,ATL@PIT 10/07/2018 01:00PM ET,PIT,21.9
WR,Tyreek Hill (11393659),Tyreek Hill,11393659,WR/FLEX,6900,JAX@KC 10/07/2018 01:00PM ET,KC,21.88
WR,Julio Jones (11393311),Julio Jones,11393311,WR/FLEX,8500,ATL@PIT 10/07/2018 01:00PM ET,ATL,21.58
QB,Joe Flacco (11393238),Joe Flacco,11393238,QB,5400,BAL@CLE 10/07/2018 01:00PM ET,BAL,21.52
QB,Matthew Stafford (11393260),Matthew Stafford,11393260,QB,5700,GB@DET 10/07/2018 01:00PM ET,DET,20.74
WR,Calvin Ridley (11393719),Calvin Ridley,11393719,WR/FLEX,5800,ATL@PIT 10/07/2018 01:00PM ET,ATL,20.42
RB,James Conner (11393590),James Conner,11393590,RB/FLEX,7500,ATL@PIT 10/07/2018 01:00PM ET,PIT,20.4
WR,Tyler Boyd (11393588),Tyler Boyd,11393588,WR/FLEX,5700,MIA@CIN 10/07/2018 01:00PM ET,CIN,19.85
WR,A.J. Green (11393315),A.J. Green,11393315,WR/FLEX,7200,MIA@CIN 10/07/2018 01:00PM ET,CIN,19.68
QB,Aaron Rodgers (11393231),Aaron Rodgers,11393231,QB,6300,GB@DET 10/07/2018 01:00PM ET,GB,19.48
TE,Travis Kelce (11393306),Travis Kelce,11393306,TE/FLEX,6000,JAX@KC 10/07/2018 01:00PM ET,KC,19.42
WR,Emmanuel Sanders (11393261),Emmanuel Sanders,11393261,WR/FLEX,7100,DEN@NYJ 10/07/2018 01:00PM ET,DEN,18.92
WR,Davante Adams (11393499),Davante Adams,11393499,WR/FLEX,7600,GB@DET 10/07/2018 01:00PM ET,GB,18.62
WR,Antonio Brown (11393302),Antonio Brown,11393302,WR/FLEX,9100,ATL@PIT 10/07/2018 01:00PM ET,PIT,18.55
RB,Joe Mixon (11393641),Joe Mixon,11393641,RB/FLEX,6900,MIA@CIN 10/07/2018 01:00PM ET,CIN,17.8
WR,Odell Beckham Jr. (11393420),Odell Beckham Jr.,11393420,WR/FLEX,8000,NYG@CAR 10/07/2018 01:00PM ET,NYG,17.75
WR,Kenny Golladay (11393552),Kenny Golladay,11393552,WR/FLEX,6000,GB@DET 10/07/2018 01:00PM ET,DET,17.75
WR,John Brown (11393334),John Brown,11393334,WR/FLEX,5600,BAL@CLE 10/07/2018 01:00PM ET,BAL,17.55
WR,Jarvis Landry (11393422),Jarvis Landry,11393422,WR/FLEX,6800,BAL@CLE 10/07/2018 01:00PM ET,CLE,17.3
RB,Kareem Hunt (11393602),Kareem Hunt,11393602,RB/FLEX,5800,JAX@KC 10/07/2018 01:00PM ET,KC,16.45
RB,T.J. Yeldon (11393505),T.J. Yeldon,11393505,RB/FLEX,5600,JAX@KC 10/07/2018 01:00PM ET,JAX,16
RB,Carlos Hyde (11393375),Carlos Hyde,11393375,RB/FLEX,5200,BAL@CLE 10/07/2018 01:00PM ET,CLE,16
QB,Marcus Mariota (11393490),Marcus Mariota,11393490,QB,6100,TEN@BUF 10/07/2018 01:00PM ET,TEN,15.69
WR,Corey Davis (11393562),Corey Davis,11393562,WR/FLEX,6400,TEN@BUF 10/07/2018 01:00PM ET,TEN,15.55
QB,Ryan Tannehill (11393277),Ryan Tannehill,11393277,QB,5200,MIA@CIN 10/07/2018 01:00PM ET,MIA,15.47
WR,Sterling Shepard (11393524),Sterling Shepard,11393524,WR/FLEX,5600,NYG@CAR 10/07/2018 01:00PM ET,NYG,15.22
WR,Dede Westbrook (11393696),Dede Westbrook,11393696,WR/FLEX,4700,JAX@KC 10/07/2018 01:00PM ET,JAX,14.72
QB,Eli Manning (11393243),Eli Manning,11393243,QB,4900,NYG@CAR 10/07/2018 01:00PM ET,NYG,14.55
QB,Tyrod Taylor (11393290),Tyrod Taylor,11393290,QB,4600,BAL@CLE 10/07/2018 01:00PM ET,CLE,14.33
QB,Case Keenum (11393275),Case Keenum,11393275,QB,5600,DEN@NYJ 10/07/2018 01:00PM ET,DEN,14.03
WR,Kenny Stills (11393369),Kenny Stills,11393369,WR/FLEX,5400,MIA@CIN 10/07/2018 01:00PM ET,MIA,13.85
WR,Quincy Enunwa (11393365),Quincy Enunwa,11393365,WR/FLEX,5200,DEN@NYJ 10/07/2018 01:00PM ET,NYJ,13.7
RB,Tevin Coleman (11393548),Tevin Coleman,11393548,RB/FLEX,6400,ATL@PIT 10/07/2018 01:00PM ET,ATL,13.6
RB,Javorius Allen (11393445),Javorius Allen,11393445,RB/FLEX,4700,BAL@CLE 10/07/2018 01:00PM ET,BAL,13.48
TE,Vance McDonald (11393343),Vance McDonald,11393343,TE/FLEX,3700,ATL@PIT 10/07/2018 01:00PM ET,PIT,13.33
QB,Baker Mayfield (11393608),Baker Mayfield,11393608,QB,5300,BAL@CLE 10/07/2018 01:00PM ET,CLE,13.32
QB,Josh Allen (11393700),Josh Allen,11393700,QB,4800,TEN@BUF 10/07/2018 01:00PM ET,BUF,13.31
RB,Isaiah Crowell (11393480),Isaiah Crowell,11393480,RB/FLEX,4100,DEN@NYJ 10/07/2018 01:00PM ET,NYJ,12.88
WR,Devin Funchess (11393550),Devin Funchess,11393550,WR/FLEX,5200,NYG@CAR 10/07/2018 01:00PM ET,CAR,12.83
RB,Phillip Lindsay (11393604),Phillip Lindsay,11393604,RB/FLEX,4800,DEN@NYJ 10/07/2018 01:00PM ET,DEN,12.8
WR,Marvin Jones Jr. (11393319),Marvin Jones Jr.,11393319,WR/FLEX,4700,GB@DET 10/07/2018 01:00PM ET,DET,12.58
RB,Dion Lewis (11393341),Dion Lewis,11393341,RB/FLEX,5400,TEN@BUF 10/07/2018 01:00PM ET,TEN,12.48
QB,Sam Darnold (11393708),Sam Darnold,11393708,QB,4700,DEN@NYJ 10/07/2018 01:00PM ET,NYJ,12.38
WR,Keelan Cole (11393631),Keelan Cole,11393631,WR/FLEX,4900,JAX@KC 10/07/2018 01:00PM ET,JAX,12.12
WR,Albert Wilson (11393403),Albert Wilson,11393403,WR/FLEX,3700,MIA@CIN 10/07/2018 01:00PM ET,MIA,11.97
RB,Kerryon Johnson (11393709),Kerryon Johnson,11393709,RB/FLEX,4600,GB@DET 10/07/2018 01:00PM ET,DET,11.72
RB,Alex Collins (11393594),Alex Collins,11393594,RB/FLEX,5000,BAL@CLE 10/07/2018 01:00PM ET,BAL,11.7
DST,Jets  (11393222),Jets ,11393222,DST,2600,DEN@NYJ 10/07/2018 01:00PM ET,NYJ,11.5
WR,Sammy Watkins (11393452),Sammy Watkins,11393452,WR/FLEX,4800,JAX@KC 10/07/2018 01:00PM ET,KC,11.42
WR,Mohamed Sanu (11393338),Mohamed Sanu,11393338,WR/FLEX,4000,ATL@PIT 10/07/2018 01:00PM ET,ATL,11.25
WR,Jakeem Grant (11393462),Jakeem Grant,11393462,WR/FLEX,3700,MIA@CIN 10/07/2018 01:00PM ET,MIA,11.18
WR,Willie Snead IV (11393426),Willie Snead IV,11393426,WR/FLEX,3900,BAL@CLE 10/07/2018 01:00PM ET,BAL,10.95
WR,Donte Moncrief (11393482),Donte Moncrief,11393482,WR/FLEX,4100,JAX@KC 10/07/2018 01:00PM ET,JAX,10.82
RB,Bilal Powell (11393298),Bilal Powell,11393298,RB/FLEX,4400,DEN@NYJ 10/07/2018 01:00PM ET,NYJ,10.75
WR,Demaryius Thomas (11393273),Demaryius Thomas,11393273,WR/FLEX,5600,DEN@NYJ 10/07/2018 01:00PM ET,DEN,10.7
WR,Michael Crabtree (11393263),Michael Crabtree,11393263,WR/FLEX,5100,BAL@CLE 10/07/2018 01:00PM ET,BAL,10.6
DST,Packers  (11393217),Packers ,11393217,DST,2700,GB@DET 10/07/2018 01:00PM ET,GB,10.5
RB,Aaron Jones (11393581),Aaron Jones,11393581,RB/FLEX,4300,GB@DET 10/07/2018 01:00PM ET,GB,10.45
TE,Jesse James (11393511),Jesse James,11393511,TE/FLEX,3100,ATL@PIT 10/07/2018 01:00PM ET,PIT,10.45
RB,Royce Freeman (11393678),Royce Freeman,11393678,RB/FLEX,4200,DEN@NYJ 10/07/2018 01:00PM ET,DEN,10.35